date,week,channel,asset,type,topic,primary_cta,utm_content,owner,status,notes
2026-06-08,Launch,Instagram/Facebook,Promo video,Reel/Post,"TRP nie je terapia v triede","Stiahnut materialy k TRP",promo_launch,,To do,"Pouzit 53 s promo alebo 20-30 s cutdown"
2026-06-08,Launch,Newsletter,Email 1,Email,"Preco sa dieta v strese nedokaze ucit","Stiahnut materialy k TRP",email_01,,To do,"Odoslat rano, link na landing"
2026-06-09,Week 1,Instagram/Facebook,Reel 01,Reel,"Narocne spravanie nemusi byt vzdor","Stiahnut materialy k TRP",reel_01,,To do,"Video 1"
2026-06-10,Week 1,Instagram/Facebook,Carousel 01,Carousel,"5 mytov o TRP","Stiahnut materialy k TRP",carousel_01,,To do,"Link v bio/komentari"
2026-06-11,Week 1,Instagram Stories,Stories 01,Stories,"Launch materialov","Stiahnut materialy",story_01,,To do,"Pouzit link sticker"
2026-06-12,Week 1,Instagram/Facebook,Reel 02,Reel,"Mozog v strese sa neuci","Pozriet 3 kratke videa",reel_02,,To do,"Video 1"
2026-06-15,Week 2,Newsletter,Email 2,Email,"3 veci bez pripravy","Pozriet video",email_02,,To do,"Pre clickerov aj neclickerov z emailu 1"
2026-06-15,Week 2,Instagram/Facebook,Carousel 04,Carousel,"Bezpecie v triede prakticky","Stiahnut materialy k TRP",carousel_04,,To do,"Prakticky format"
2026-06-16,Week 2,Instagram/Facebook,Reel 04,Reel,"Bezpecie nie je bonus","Stiahnut materialy k TRP",reel_04,,To do,"Video 2"
2026-06-17,Week 2,Instagram Stories,Stories 02,Stories,"Anketa o narocnom spravani","Stiahnut materialy",story_02,,To do,"Ulozit odpovede pre dalsi obsah"
2026-06-18,Week 2,Instagram/Facebook,Reel 05,Reel,"Co mozem urobit hned zajtra","Stiahnut materialy k TRP",reel_05,,To do,"Video 2"
2026-06-19,Week 2,Instagram/Facebook,Carousel 03,Carousel,"Signaly stresu v triede","Pozriet 3 videa",carousel_03,,To do,"Edu obsah"
2026-06-22,Week 3,Newsletter,Email 3,Email,"Mate situaciu z praxe?","Vyplnit anonymny dotaznik",email_03,,To do,"Hlavny zber skusenosti"
2026-06-22,Week 3,Instagram/Facebook,Reel 07,Reel,"Pred trestom skuste deeskalaciu","Stiahnut materialy k TRP",reel_07,,To do,"Video 3"
2026-06-23,Week 3,Instagram/Facebook,Carousel 02,Carousel,"Co robit pri eskalacii","Ulozit postup",carousel_02,,To do,"Prakticky postup"
2026-06-24,Week 3,Instagram Stories,Stories 03,Stories,"Mini tip na zajtra","Stiahnut materialy",story_03,,To do,"Bez linku alebo s linkom podla dosahu"
2026-06-25,Week 3,Instagram/Facebook,Reel 08,Reel,"Hranica moze zniet pokojne","Ulozit/zdielat",reel_08,,To do,"Video 3"
2026-06-26,Week 3,Instagram/Facebook,Carousel 06,Carousel,"5 viet, ktore pomahaju","Ulozit do kabinetu",carousel_06,,To do,"Mozne pouzit aj ako fyzicky material"
2026-06-29,Week 4,Newsletter,Email 4,Email,"Ak chcete ist hlbsie","Pozriet vzdelavania k TRP",email_04,,To do,"Soft CTA na kurzy"
2026-06-29,Week 4,Instagram/Facebook,Reel 09,Reel,"Podeľte sa o realnu situaciu","Vyplnit anonymny dotaznik",reel_09,,To do,"Zber skusenosti"
2026-06-30,Week 4,Instagram/Facebook,Carousel 05,Carousel,"Aj ucitel potrebuje regulaciu","Poslat kolegovi",carousel_05,,To do,"Dobra tema na zborovnu"
2026-06-30,Week 4,Instagram Stories,Stories 06,Stories,"Pripomenutie materialov","Stiahnut materialy",story_06,,To do,"Zhrnutie kampane"
